Wilayah,Komposit,NCPR,Kemiskinan (%),Pengeluaran Pangan (%),Tanpa Listrik (%),Tanpa Air Bersih (%),Lama Sekolah Perempuan (tahun),Rasio Tenaga Kesehatan,Angka Kesakitan,Stunting (%),IKP,IKP Ranking,
nagan raya - darul makmur,3,2.65,19.22,34.79,0.53,46.17,7.71,13.88,26.95,36.17,59.54,242,
nagan raya - suka makmue,6,0.07,11.87,18.96,0.28,39.49,9.89,1.43,22.41,18.79,80.93,32,
nagan raya - kuala pesisir,5,1.66,6.93,32.96,0.48,34.70,9.41,1.17,8.67,28.29,76.36,112,
nagan raya - tadu raya,5,1.31,12.48,51.23,0.54,26.28,8.38,7.72,8.93,28.73,77.97,79,
nagan raya - tripa makmur,5,0.80,20.34,62.14,2.20,28.08,8.64,10.52,35.42,32.06,70.66,196,
nagan raya - beutong ateuh banggalang,5,0.19,12.06,29.34,4.15,60.77,8.70,21.36,10.06,42.76,76.00,116,
aceh tamiang - manyak payed,5,0.19,18.35,68.90,0.61,42.51,8.69,100.00,16.20,17.14,74.82,134,
aceh tamiang - bendahara,6,0.25,11.43,59.96,0.29,19.48,9.63,93.33,15.70,10.33,80.72,34,
aceh tamiang - karang baru,6,0.53,8.24,29.95,0.04,19.99,10.00,100.00,10.66,14.67,80.67,35,
aceh tamiang - seruway,5,0.29,14.12,37.73,0.06,34.38,8.74,100.00,20.03,13.34,75.85,119,
aceh tamiang - kota kualasinpang,3,5.00,3.63,23.37,0.00,8.49,11.06,14.93,15.90,3.91,60.13,239,
aceh tamiang - kejuruan muda,5,1.51,7.01,38.65,0.19,29.26,8.96,100.00,14.42,12.65,72.49,174,
aceh tamiang - tamiang hulu,5,1.91,6.73,37.70,0.00,15.53,8.34,100.00,21.99,6.23,70.58,197,
aceh tamiang - rantau,6,0.91,4.38,20.29,0.08,13.90,9.35,42.04,15.33,7.21,82.18,18,
aceh tamiang - banda mulia,5,0.10,11.71,55.71,0.00,37.70,7.77,98.51,18.02,4.24,78.06,74,
aceh tamiang - bandar pusaka,5,0.31,17.35,85.22,0.19,33.09,7.27,100.00,19.91,16.87,74.79,139,
aceh tamiang - tenggulun,5,0.61,12.35,47.19,0.16,24.54,8.07,100.00,12.85,4.29,78.20,71,
aceh tamiang - sekerak,6,0.68,18.04,18.87,1.09,26.67,54.00,100.00,16.00,21.20,78.79,63,
bener meriah - pintu rime gayo,5,0.85,2.33,52.33,2.76,38.53,8.93,100.00,16.64,30.02,73.30,162,
bener meriah - permata,4,1.71,2.36,17.65,0.85,73.05,8.93,100.00,10.53,35.00,65.02,228,
bener meriah - syiah utama,4,0.03,15.98,68.85,16.39,63.32,9.72,100.00,18.53,35.59,64.28,229,
bener meriah - bandar,3,4.28,1.67,52.04,0.00,26.59,9.50,100.00,24.01,13.77,54.86,249,
bener meriah - bukit,4,1.94,0.75,22.02,0.43,47.81,10.78,100.00,19.22,34.74,66.00,224,
bener meriah - wih pesam,4,1.86,0.74,33.76,0.00,36.52,10.03,100.00,22.87,18.78,68.20,212,
bener meriah - timang gajah,5,0.20,0.71,30.78,1.25,43.08,9.17,100.00,19.40,28.62,76.91,101,
bener meriah - bener kelipah,6,0.10,0.84,44.16,0.00,38.94,8.54,100.00,13.04,17.20,80.98,31,
bener meriah - mesidah,5,0.78,3.14,56.48,10.76,36.86,9.03,100.00,11.07,28.68,71.76,185,
bener meriah - gajah putih,5,0.22,0.81,28.73,0.48,52.04,8.41,100.00,27.13,15.08,74.21,147,
pidie jaya - meureudu,5,0.28,17.16,30.39,0.02,59.59,9.49,84.68,16.70,18.47,72.80,166,
pidie jaya - ulim,5,0.25,25.47,39.02,0.60,41.32,9.57,50.56,15.42,14.67,75.99,117,
pidie jaya - jangka buaya,5,0.28,21.22,52.79,0.03,95.87,8.91,32.81,11.36,22.04,69.91,201,
pidie jaya - bandar dua,5,0.20,18.49,41.80,0.18,36.81,9.50,67.19,20.95,9.04,76.71,105,
pidie jaya - meurah dua,5,0.30,11.48,42.19,0.00,26.27,9.53,100.00,16.26,34.84,77.66,89,
pidie jaya - bandar baru,5,0.25,18.10,58.00,0.05,20.50,8.25,61.32,26.62,32.56,76.43,109,
pidie jaya - panteraja,5,0.48,27.21,4589.00,0.00,23.91,8.81,38.24,17.73,10.99,69.89,202,
pidie jaya - trienggadeng,6,0.23,14.68,50.45,0.03,26.69,9.79,62.47,14.77,19.29,80.46,40,
kota banda aceh - baiturrahman,6,0.00,3.21,12.93,0.00,7.97,11.10,12.27,15.53,7.91,83.79,6,
kota banda aceh - kuta alam,6,0.00,0.67,10.09,0.00,3.92,11.24,15.70,14.23,17.70,87.79,2,
